,PC6,Gemeentenaam
0,2526,'s-Gravenhage
1,2541,'s-Gravenhage
2,2522,'s-Gravenhage
3,2524,'s-Gravenhage
4,2574,'s-Gravenhage
5,2495,'s-Gravenhage
6,2496,'s-Gravenhage
7,2533,'s-Gravenhage
8,2586,'s-Gravenhage
9,2521,'s-Gravenhage
10,2491,'s-Gravenhage
11,2516,'s-Gravenhage
12,2517,'s-Gravenhage
13,2518,'s-Gravenhage
14,2513,'s-Gravenhage
15,2587,'s-Gravenhage
16,2532,'s-Gravenhage
17,2564,'s-Gravenhage
18,2565,'s-Gravenhage
19,2581,'s-Gravenhage
20,2597,'s-Gravenhage
21,2596,'s-Gravenhage
22,2492,'s-Gravenhage
23,2493,'s-Gravenhage
24,2554,'s-Gravenhage
25,2553,'s-Gravenhage
26,2561,'s-Gravenhage
27,2555,'s-Gravenhage
28,2551,'s-Gravenhage
29,2552,'s-Gravenhage
30,2566,'s-Gravenhage
31,2583,'s-Gravenhage
32,2563,'s-Gravenhage
33,2562,'s-Gravenhage
34,2514,'s-Gravenhage
35,2515,'s-Gravenhage
36,2582,'s-Gravenhage
37,2497,'s-Gravenhage
38,2547,'s-Gravenhage
39,2571,'s-Gravenhage
40,2572,'s-Gravenhage
41,2542,'s-Gravenhage
42,2543,'s-Gravenhage
43,2546,'s-Gravenhage
44,2544,'s-Gravenhage
45,2545,'s-Gravenhage
46,2548,'s-Gravenhage
47,2584,'s-Gravenhage
48,2512,'s-Gravenhage
49,2573,'s-Gravenhage
50,2498,'s-Gravenhage
51,2511,'s-Gravenhage
52,2531,'s-Gravenhage
53,2591,'s-Gravenhage
54,2593,'s-Gravenhage
55,2595,'s-Gravenhage
56,2592,'s-Gravenhage
57,2525,'s-Gravenhage
58,2523,'s-Gravenhage
59,2585,'s-Gravenhage
60,2594,'s-Gravenhage
61,5381,'s-Hertogenbosch
62,5241,'s-Hertogenbosch
63,5392,'s-Hertogenbosch
64,5391,'s-Hertogenbosch
65,5246,'s-Hertogenbosch
66,5248,'s-Hertogenbosch
67,5247,'s-Hertogenbosch
68,5382,'s-Hertogenbosch
69,5237,'s-Hertogenbosch
70,5224,'s-Hertogenbosch
71,5244,'s-Hertogenbosch
72,5235,'s-Hertogenbosch
73,5236,'s-Hertogenbosch
74,5245,'s-Hertogenbosch
75,5215,'s-Hertogenbosch
76,5216,'s-Hertogenbosch
77,5221,'s-Hertogenbosch
78,5222,'s-Hertogenbosch
79,5223,'s-Hertogenbosch
80,5233,'s-Hertogenbosch
81,5231,'s-Hertogenbosch
82,5242,'s-Hertogenbosch
83,5234,'s-Hertogenbosch
84,5249,'s-Hertogenbosch
85,5211,'s-Hertogenbosch
86,5213,'s-Hertogenbosch
87,5383,'s-Hertogenbosch
88,5243,'s-Hertogenbosch
89,5212,'s-Hertogenbosch
90,5232,'s-Hertogenbosch
91,9448,Aa en Hunze
92,9444,Aa en Hunze
93,9446,Aa en Hunze
94,9449,Aa en Hunze
95,9452,Aa en Hunze
96,9453,Aa en Hunze
97,9447,Aa en Hunze
98,9465,Aa en Hunze
99,9659,Aa en Hunze
100,9658,Aa en Hunze
101,9657,Aa en Hunze
102,9443,Aa en Hunze
103,9445,Aa en Hunze
104,9468,Aa en Hunze
105,9469,Aa en Hunze
106,9463,Aa en Hunze
107,9654,Aa en Hunze
108,9515,Aa en Hunze
